Year,Jurisdiction_x,Pct_Econ_Disadvantaged,Pct_Not_Econ_Disadvantaged,Pct_Eligible_NSLP,Pct_Not_Eligible_NSLP,Did_Not_Finish_HS,Graduated_HS,Graduated_College,I_Dont_Know,White,Black,Hispanic,Asian_Pacific_Islander,American_Indian,Two_or_More,Avg_Score,Pctl_0,Pctl_10,Pctl_25,Pctl_50,Pctl_75,Pctl_90
Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,,Percentage,Percentage,Percentage,Percentage,Percentage
2024,Miami-Dade,62.97902747,37.02097253,,,4.392281537,13.56692394,13.22025007,51.61661744,6.819540378,16.11646394,75.57069366,0.808133948,,0.685168074,267.7606757,,219.4655006,240.2484993,266.6475006,295.312001,317.6069977
2024,Milwaukee,79.56790906,20.29727771,,,8.071867035,20.4369898,12.58419534,39.2141818,8.803027614,48.44392798,28.75013224,9.58328555,,4.184636911,244.4195832,,198.9650017,218.7795006,242.1150002,267.638501,292.8695023
2024,New York City,79.66760769,20.33239231,,,8.79406948,13.74550896,10.93697255,39.94429255,12.11659747,20.64602411,45.00071865,19.99866123,0.594394703,1.643603827,267.0595593,,213.1015015,235.8090004,263.4930038,295.9580017,328.3074997
2024,Orange County (FL),46.20571779,53.79428221,,,4.481600918,10.88122805,12.65414224,53.93738769,22.23644211,23.68140023,45.57681947,6.217246013,,1.972512469,266.0725335,,215.425,238.0319992,265.4325012,292.6925018,317.4985001
2024,Philadelphia,78.46165843,19.8585005,,,6.348288321,19.92334606,13.79913077,38.04297151,15.5911285,46.25199089,21.97697194,10.43782114,,5.742087533,252.2036583,,200.2425003,222.0170006,248.1265007,279.6294983,311.4574966
2024,San Diego,56.40314059,43.59685941,,,6.759475792,9.987911116,11.31259664,54.98038704,22.21197927,6.480757927,45.51326911,16.51583437,,9.160677295,274.7856009,,213.8850006,240.9615005,276.2284988,307.225,334.2229996
2024,Shelby County (TN),,,,,,,,,,,,,,,,,,,,,
2024,California without Fresno,,,,,,,,,,,,,,,,,,,,,
2024,California without Los Angeles,59.59222332,40.40777668,,,6.627201337,15.70605398,13.39889046,45.46890369,19.48713832,5.246887123,55.89576015,14.34912106,,4.533725502,269.4272017,,211.4275009,237.7879982,267.6604996,300.2545013,329.8785034
2024,California without San Diego,60.94327866,39.03442557,,,6.882997141,15.89456582,13.36033807,44.58799926,18.96139816,5.288112146,57.11990358,13.7914991,,4.373703224,268.6956331,,210.9940018,236.9644997,266.9824966,299.2945007,328.8424973
2024,California without any TUDAs,59.64015012,40.35984988,,,6.625220487,15.7916849,13.43013334,45.32646634,19.44618833,5.228344022,56.05179234,14.31655884,,4.464189833,269.3466735,,211.3845009,237.7139992,267.564505,300.1414993,329.7570007
2024,Colorado without Denver,38.66487308,59.73963109,,,,,,,53.63939795,4.070110269,32.94659438,3.721515905,0.696264452,4.926117053,279.5970897,,224.624501,251.6669998,280.9179993,309.2609985,333.2704971
2024,District of Columbia without DCPS,53.14692431,46.760862,,,4.726502385,18.69849582,14.39309434,48.44792402,8.231983077,72.32319799,15.44529748,0.510268779,,3.489252676,263.5525826,,212.3765022,234.9944984,261.5860031,288.9735046,319.2145004
2024,Florida without Duval County,52.5373202,47.33959357,,,5.288766891,13.24169424,14.1223208,52.25425422,32.10579906,18.54158359,41.5644654,3.46624506,,4.013640484,267.502216,,217.2220001,240.5915001,266.9460007,294.0164978,318.4909988
2024,Florida without Hillsborough County,52.40480715,47.4667071,,,5.238665673,13.481186,14.19506478,51.89676814,32.39286825,19.20886899,40.73788655,3.343859289,,3.999235767,267.3021307,,216.8639992,240.2930023,266.7125,293.9865005,318.5795013
2024,Florida without Miami-Dade,50.97140238,48.8944181,,,5.407449437,13.30699242,14.28276411,52.23577459,35.46819266,19.84707387,35.89788255,3.921647164,,4.523872019,267.1725874,,216.5895004,240.2035011,266.5980026,293.6659958,318.5199997
2024,Florida without Orange County,52.87952424,46.9933434,,,5.347164029,13.52445395,14.26970963,52.02706501,32.78938333,19.07498556,40.26588586,3.346159345,,4.224215998,267.3320451,,217.0655014,240.3514992,266.7154999,293.9219971,318.4685013
2024,Florida without any TUDAs,51.38732444,48.44118438,,,5.463731171,13.60639467,14.47733791,51.84997699,37.98393344,18.07757332,35.48564146,3.361029081,,4.707517015,267.713601,,216.9964996,241.1,267.2534988,294.1509979,318.9965012
2024,Georgia without Atlanta,66.56634801,33.09413306,,,5.806279446,13.73513423,14.37183863,50.86764483,36.50754561,36.64057169,17.92814922,4.445965419,,4.235451009,268.9882665,,214.5584984,241.2599998,269.2289978,297.4994995,322.7729996
2024,Illinois without Chicago,42.62213712,57.37786288,,,4.20473911,11.81111974,11.87076533,59.11050367,53.62785336,9.86771711,24.88667538,6.889736175,,4.599790109,279.8293733,,221.9215004,247.7359985,280.3714981,310.9274994,337.3264999
2024,Kentucky without Jefferson County,57.57560631,42.42439369,,,5.664608348,14.4285298,16.84163962,49.34670676,76.72648273,6.80971253,9.391533484,1.899005526,,5.110654208,273.3029689,,223.480999,246.1889999,272.1855042,300.1294998,323.9205002
2024,Maryland without Baltimore,32.21885003,65.42752442,,,5.928272778,13.42727425,11.19082202,55.96578819,34.96581045,29.15210965,22.12449088,7.873136483,,5.583068385,270.1866837,,214.3990036,239.1594994,268.7015015,300.6615021,329.5490021
2024,Massachusetts without Boston,41.16595499,58.3419403,,,3.169022957,11.84903349,9.943031075,62.21597265,56.46613689,6.598557409,25.49093795,6.839153661,,4.405246598,284.3741687,,228.1555,253.9719994,285.3834991,314.2184998,339.2369995
2024,Michigan without Detroit,51.02057388,48.97942612,,,3.794170811,15.56426355,14.34146796,53.92035596,67.36829022,11.99579474,11.76667437,3.381006895,0.674984463,4.813249312,270.9906591,,220.6065018,243.4310005,269.7959991,298.4059998,322.9369995
2024,Nevada without Clark County,53.61726177,41.97755596,,,6.171802979,21.06375038,14.74876123,43.39230085,36.67080445,8.372813344,40.09177045,7.912669497,0.854036774,6.097905491,269.8095385,,221.9454994,243.0724998,267.6079987,294.225,322.2424988
2024,New Mexico without Albuquerque,42.84023529,52.14665282,,,9.904437535,18.14563224,16.07907277,41.60377632,23.94898091,1.907782015,59.75990903,1.260591297,11.59533706,1.527399691,256.1889772,,209.5419983,230.4205002,254.5224998,280.6294998,305.4785004
2024,New York without New York City,43.82732149,48.59226407,,,6.498558358,10.78054839,8.972028458,59.54008976,51.9221518,14.22688055,24.05772284,4.956324659,,4.475964936,272.7001165,,216.6894997,243.5859978,274.1404984,302.6285019,327.7210007
2024,North Carolina without Charlotte,51.37259421,48.5677952,,,6.249931855,14.3779926,13.28772507,50.80233814,45.61966914,22.20346026,20.37846437,5.179303806,1.012959632,5.606142797,275.8838734,,217.681501,245.8404999,277.0209991,306.8189972,330.9000046
2024,North Carolina without Guilford County,51.03703791,48.88031537,,,6.36943541,14.46412337,12.97278564,51.03034763,44.3141416,22.61225887,21.43830014,5.263434399,0.98809715,5.38376784,276.1254219,,217.6880005,245.8634979,277.0964996,307.3330032,331.6914993
2024,North Carolina without any TUDAs,51.15614356,48.78132029,,,6.322679624,14.43033148,13.2781653,50.67255171,46.58004973,21.2350471,20.40113168,5.070029711,1.058276678,5.655465098,276.2213821,,217.8660004,246.3939995,277.4404968,307.1784988,331.0865021
